LAEstab,Easting,Northing,School_Type,School_Phase,Religious_Character,Government_Office_Region_Name,Parliamentary_Constituency,LA_District,Ward,StatutoryLowAge.y,StatutoryHighAge.y,Tot_Workforce_HC,Tot_Classroom_Teachers_HC,Tot_Teachers_Leadership_HC,Tot_Teachers_HC,Tot_TAs_HC,Tot_NonClassroom_Support_Staff_Exc_Aux_Staff_HC,Tot_Auxiliary_Staff_HC,Perc_PT_Teaching_Staff_,Tot_Workforce_FTE,Tot_Classroom_Teachers_FTE,Tot_Teachers_Leadership_FTE,Tot_Teachers_FTE,Tot_TAs_FTE,Tot_NonClassroom_Support_Staff_Exc_Aux_Staff_FTE,Tot_Aux_Staff_FTE,TA_Teacher_Ratio,Pupil_Teacher_Ratio,Perc_Male_Teachers,Perc_Minority_Ethnic_Teachers,Perc_Over_Age_50_Teachers,Perc_QTS_Teachers,Perc_of_Unqual_Teachers_who_Unqual_on_QTS_Route,Perc_Male_TAs,Perc_Minority_Ethnic_TAs,Perc_HLTA_TAs,Perc_Male_Non_Classroom_Support_Staff,Perc_Minority_Ethnic_Non_Classroom_Support_Staff,Perc_Male_Aux_Staff,Perc_Minority_Ethnic_Aux_Staff,Regional_Pay_Spine,Mean_Gross_Salary_All_Teachers_Sterling,Perc_Main_Pay_Range_Classroom_Teachers,Perc_Upper_Pay_Range_Leading_Practioners_Pay_Range_Classroom_Teachers,Perc_Receive_Allowance_Qual_Classroom_Teachers,Perc_Leadership_Pay_Range_Teachers,Perc_At_Least_One_Sickness_Absence_Teachers,Tot_Days_Sickness_Absence,Mean_Days_Lost_Teacher_Sickness_Absence_Of_Those_Taking_Sickness_Absence,Mean_Days_Lost_Teacher_Sickness_Absence_All_Teachers,FT_Vacant_Posts,Perc_FT_Posts_Vacant,FT_Temp_Filled_Posts,Perc_FT_Temp_Filled_Posts
8653071,415361,147049,Academies,Primary,Church of England,South West,Devizes,Wiltshire,"Bulford, Allington and Figheldean",4,11,22,6,1,7,8,3,4,NA,12,4.7,1,5.7,3.3,1.4,1.6,0.6,13.7,NA,0,NA,100,NA,0,0,0,0,NA,0,0,EW,39920,66.7,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
8653022,417226,143773,Academies,Primary,Church of England,South West,Devizes,Wiltshire,"Bulford, Allington and Figheldean",3,11,44,11,2,13,19,2,10,28.6,29.2,9.4,2,11.4,12.6,1.6,3.6,1.1,21.5,0,0,31.3,91.6,NA,0,NA,NA,0,NA,0,0,EW,35718,72.7,NA,45.5,NA,NA,NA,NA,NA,0,0,0,0
8653094,391811,158080,Academies,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Summerham and Seend,4,11,20,4,2,6,4,3,7,NA,9.6,3.6,1.7,5.3,2.3,1.2,0.8,0.4,20,NA,0,NA,100,NA,0,0,0,0,NA,0,0,EW,35985,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
8652037,400800,161137,LA maintained schools,Primary,Does not apply,South West,Devizes,Wiltshire,Devizes and Roundway South,5,7,50,9,2,11,20,7,12,NA,23.7,7.5,2,9.5,9,2.9,2.3,0.9,19.4,NA,NA,32.8,100,NA,0,0,NA,NA,0,NA,0,EW,36059,66.7,NA,NA,NA,63.6,110.5,15.8,10,0,0,0,0
8653344,391997,163756,LA maintained schools,Primary,Church of England,South West,Chippenham,Wiltshire,Melksham Without South,3,11,61,21,3,24,19,6,12,45.8,38.7,16.4,2.6,19,14.1,3.9,1.7,0.7,20.5,NA,0,12.6,98.9,NA,NA,0,0,NA,0,NA,0,EW,34029,57.1,42.9,19,NA,57.1,44,3.7,2.1,0,0,0,0
8653352,392332,142567,LA maintained schools,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Warminster Copheap and Wylye,4,11,14,5,2,7,3,1,3,71.4,6.8,2.7,1.5,4.2,1.4,0.5,0.7,0.3,14.5,0,0,NA,100,NA,0,NA,NA,0,NA,0,NA,EW,35633,0,NA,0,NA,NA,NA,NA,0.4,0,0,0,0
8654001,416086,131180,LA maintained schools,Secondary,Church of England,South West,Salisbury,Wiltshire,"Laverstock, Ford and Old Sarum",11,16,42,21,4,25,6,8,3,42.9,34.9,16.6,4,20.6,4.8,7,2.5,0.2,14.2,40.7,NA,26.5,88.1,0,NA,NA,0,NA,0,NA,NA,EW,37211,38.1,61.9,38.1,16,NA,NA,NA,NA,0,0,0,0
8654006,417200,121253,LA maintained schools,Secondary,None,South West,Salisbury,Wiltshire,Downton and Ebble Valley,11,16,81,28,5,33,11,27,10,18.2,60.6,26.1,5,31.1,8.5,14,7,0.3,18.9,50.5,NA,24.8,100,NA,29,NA,0,21.1,NA,50.9,0,EW,41000,NA,0,53.6,15.2,67.6,133.5,5.8,3.9,0,0,0,0
8653023,425063,165025,LA maintained schools,Primary,Church of England,South West,Devizes,Wiltshire,Burbage and the Bedwyns,5,11,14,4,1,5,5,2,2,NA,8,3.5,1,4.5,2.4,0.8,0.3,0.5,23.3,NA,0,0,100,NA,0,0,0,0,NA,0,NA,EW,35282,NA,NA,NA,NA,NA,NA,NA,0.4,0,0,0,0
8655200,390301,163310,LA maintained schools,Primary,None,South West,Chippenham,Wiltshire,Melksham South,4,11,66,17,4,21,27,4,14,40,32.6,14.1,3,17.2,9.8,2.7,2.9,0.6,22.2,23.8,NA,21.4,94.1,NA,NA,NA,NA,0,NA,NA,NA,EW,36818,0,0,35.3,NA,85,84,4.9,4.2,0,0,0,0
8652022,391692,173440,LA maintained schools,Primary,Does not apply,South West,Chippenham,Wiltshire,Chippenham Lowden and Rowden,4,11,68,19,3,22,23,8,15,45.5,36.8,14.1,3,17.1,11.8,3.6,4.3,0.7,20.8,35.2,0,26.9,94.1,NA,0,NA,0,0,0,NA,0,EW,36321,NA,0,NA,NA,45.5,40.5,4,1.8,0,0,0,0
8653190,388445,144645,LA maintained schools,Primary,Church of England,South West,South West Wiltshire,Wiltshire,Warminster East,5,11,36,7,3,10,14,4,8,60,18,5.1,2.6,7.7,6,1.8,2.5,0.8,14.8,NA,0,NA,100,NA,0,0,0,0,0,0,0,EW,36016,0,NA,NA,NA,63.6,91.5,13.1,8.3,0,0,0,0
